DateTime,Metric,Capacity,CR,TR,beta, beta_std
2017-09-12T18:56:00,60498.65,127999.98,67501.34,366.00,0.000000,0.000000
2017-09-12T19:01:00,60721.32,127999.98,0.00,1.05,222.667969,0.000000
2017-09-12T19:06:00,61086.65,127999.98,0.00,0.79,294.000000,186.994731
2017-09-12T19:11:00,60502.65,127999.98,0.00,6.16,37.733203,282.777369
2017-09-12T19:16:00,61782.65,127999.98,0.00,0.98,234.933203,243.024444
2017-09-12T19:21:00,60597.32,127999.98,0.00,2.61,88.381027,200.863347
2017-09-12T19:26:00,65858.65,127999.98,0.00,0.37,590.285714,420.613830
2017-09-12T19:31:00,64181.32,127999.98,0.00,0.35,610.444522,313.877172
2017-09-12T19:36:00,63070.65,127999.98,0.00,0.42,505.111133,255.059097
2017-09-12T19:41:00,63555.98,127999.98,0.00,0.48,450.408002,207.177826
2017-09-12T19:46:00,64581.32,127999.98,0.00,0.48,446.703018,169.179821
2017-09-12T19:51:00,54823.98,127999.98,0.00,3.99,52.102641,305.652102
2017-09-12T19:56:00,54922.65,127999.98,61932.22,366.00,-184.857100,304.199176
2017-09-12T20:01:00,63865.32,127999.98,60175.70,366.00,-73.016793,271.059489
2017-09-12T20:06:00,74021.31,127999.98,0.00,0.77,255.404729,320.181558
2017-09-12T20:11:00,59126.65,127999.98,0.00,1.41,140.964671,289.912293
2017-09-12T20:16:00,61155.98,127999.98,0.00,1.99,99.454264,257.106738
2017-09-12T20:21:00,60973.32,127999.98,0.00,3.07,65.374641,229.508260
2017-09-12T20:26:00,64190.65,127999.98,0.00,2.20,90.748554,205.926551
2017-09-12T20:31:00,62898.65,127999.98,0.00,2.23,89.481711,185.281183
2017-09-12T20:36:00,65107.98,127999.98,0.00,1.71,116.074442,168.445987
2017-09-12T20:41:00,58330.65,127999.98,0.00,3.69,54.305270,158.024244
2017-09-12T20:46:00,66749.31,127999.98,0.00,2.01,98.223930,146.894239
2017-09-12T20:51:00,62269.32,127999.98,0.00,2.30,86.259098,134.840775
2017-09-12T20:56:00,57802.65,127999.98,0.00,5.73,34.917918,128.138315
2017-09-12T21:01:00,59617.32,127999.98,0.00,20.68,9.758614,119.305432
2017-09-12T21:06:00,71466.65,127999.98,0.00,2.33,83.755781,119.679692
2017-09-12T21:11:00,74119.98,127999.98,0.00,1.16,161.977011,121.271242
2017-09-12T21:16:00,77254.65,127999.98,0.00,0.73,245.594743,124.209124
2017-09-12T21:21:00,79243.98,127999.98,0.00,0.52,324.817810,125.830565
2017-09-12T21:26:00,76309.31,127999.98,0.00,0.45,369.951068,120.947861
2017-09-12T21:31:00,78617.31,127999.98,0.00,0.38,418.146360,117.193897
2017-09-12T21:36:00,83303.98,127999.98,0.00,0.32,480.920627,116.637343
2017-09-12T21:41:00,82415.98,127999.98,0.00,0.28,526.347979,113.246039
2017-09-12T21:46:00,94802.65,127999.98,0.00,0.22,620.898160,121.433636
2017-09-12T21:51:00,82923.98,127999.98,0.00,0.20,644.237411,115.564667
2017-09-12T21:56:00,82838.65,127999.98,0.00,0.19,660.877749,109.783323
2017-09-12T22:01:00,77727.98,127999.98,0.00,0.19,651.658838,104.152563
2017-09-12T22:06:00,74477.31,127999.98,0.00,0.20,628.778343,99.782765
2017-09-12T22:11:00,71967.98,127999.98,0.00,0.21,597.681627,96.653633
2017-09-12T22:16:00,72090.65,127999.98,0.00,0.22,569.263834,93.538026
2017-09-12T22:21:00,70261.31,127999.98,0.00,0.24,536.748133,91.233568
2017-09-12T22:26:00,74613.31,127999.98,0.00,0.24,520.662384,87.530804
2017-09-12T22:31:00,74202.65,127999.98,0.00,0.25,503.850455,84.165893
2017-09-12T22:36:00,75103.98,127999.98,0.00,0.26,490.334788,80.836416
2017-09-12T22:41:00,70123.98,127999.98,0.00,0.27,463.325699,79.018424
2017-09-12T22:46:00,69097.31,127999.98,0.00,0.29,435.658153,77.470495
2017-09-12T22:51:00,68822.65,127999.98,0.00,0.31,409.495844,75.894340
2017-09-12T22:56:00,68769.31,127999.98,0.00,0.33,385.275475,74.239559
2017-09-12T23:01:00,68266.65,127999.98,0.00,0.35,361.758303,72.657474
2017-09-12T23:06:00,67278.65,127999.98,0.00,0.38,337.847692,71.269266
2017-09-12T23:11:00,79677.31,127999.98,0.00,0.37,342.849108,68.592826
2017-09-12T23:16:00,81170.65,127999.98,0.00,0.36,349.717219,66.131897
2017-09-12T23:21:00,80245.31,127999.98,0.00,0.35,353.274091,63.717383
2017-09-12T23:26:00,95255.98,127999.98,0.00,0.31,385.010155,64.274490
2017-09-12T23:31:00,84799.98,127999.98,0.00,0.30,393.087397,62.166498
2017-09-12T23:36:00,83151.98,127999.98,0.00,0.29,396.639388,60.022149
2017-09-12T23:41:00,82859.98,127999.98,0.00,0.28,398.628955,57.963996
2017-09-12T23:46:00,82754.65,127999.98,0.00,0.28,399.568773,56.001355
2017-09-12T23:51:00,77621.31,127999.98,0.00,0.28,391.347355,54.356233
2017-09-12T23:56:00,75185.31,127999.98,0.00,0.30,379.423035,53.052967
2017-09-13T00:01:00,74197.31,127999.98,0.00,0.31,366.515551,51.915108
2017-09-13T00:06:00,74387.98,127999.98,0.00,0.32,354.537265,50.771229
2017-09-13T00:11:00,73110.65,127999.98,0.00,0.33,341.293726,49.813196
2017-09-13T00:16:00,74193.31,127999.98,0.00,0.35,330.272505,48.724216
2017-09-13T00:21:00,73797.31,127999.98,0.00,0.35,319.237861,47.701772
2017-09-13T00:26:00,77231.98,127999.98,0.00,0.36,313.265184,46.413756
2017-09-13T00:31:00,76559.98,127999.98,0.00,0.37,306.544302,45.225320
2017-09-13T00:36:00,70822.65,127999.98,0.00,0.39,292.883221,44.658742
2017-09-13T00:41:00,67058.65,127999.98,0.00,0.42,275.462460,44.600417
2017-09-13T00:46:00,68409.31,127999.98,0.00,0.44,260.734956,44.217726
2017-09-13T00:51:00,66643.98,127999.98,0.00,0.48,244.888262,44.006765
2017-09-13T00:56:00,68227.98,127999.98,0.00,0.51,231.796185,43.500459
2017-09-13T01:01:00,67410.65,127999.98,0.00,0.55,218.603124,43.042213
2017-09-13T01:06:00,78499.98,127999.98,0.00,0.54,217.880609,41.896405
2017-09-13T01:11:00,65507.98,127999.98,0.00,0.58,203.669685,41.654576
2017-09-13T01:16:00,61845.32,127999.98,0.00,0.65,186.675240,41.803858
2017-09-13T01:21:00,61855.98,127999.98,0.00,0.71,170.783581,41.805734
2017-09-13T01:26:00,63993.32,127999.98,0.00,0.78,157.935690,41.451572
2017-09-13T01:31:00,63071.98,127999.98,0.00,0.86,145.028273,41.131272
2017-09-13T01:36:00,52953.32,127999.98,0.00,1.03,123.782013,42.040334
2017-09-13T01:41:00,52239.98,127999.98,0.00,1.24,103.314918,42.765326
2017-09-13T01:46:00,62499.98,127999.98,0.00,1.37,93.032834,42.175528
2017-09-13T01:51:00,59802.65,127999.98,0.00,1.60,81.123060,41.769239
2017-09-13T01:56:00,59819.98,127999.98,0.00,1.88,69.982068,41.314666
2017-09-13T02:01:00,60426.65,127999.98,0.00,2.19,60.030865,40.780060
2017-09-13T02:06:00,63722.65,127999.98,0.00,2.49,53.286380,40.041255
2017-09-13T02:11:00,64209.32,127999.98,0.00,2.82,47.323422,39.289316
2017-09-13T02:16:00,65258.65,127999.98,0.00,3.16,42.504095,38.511603
2017-09-13T02:21:00,64093.32,127999.98,0.00,3.64,37.114134,37.789906
2017-09-13T02:26:00,68607.98,127999.98,0.00,3.83,35.280779,36.975096
2017-09-13T02:31:00,67402.65,127999.98,0.00,4.16,32.694421,36.203379
2017-09-13T02:36:00,69355.98,127999.98,0.00,4.32,31.589591,35.430717
2017-09-13T02:41:00,63746.65,127999.98,0.00,5.13,26.763702,34.793417
2017-09-13T02:46:00,75655.98,127999.98,0.00,4.52,30.053738,34.116053
2017-09-13T02:51:00,66343.98,127999.98,0.00,5.03,27.123022,33.449880
2017-09-13T02:56:00,68094.65,127999.98,0.00,5.39,25.457753,32.774820
2017-09-13T03:01:00,60203.98,127999.98,0.00,7.22,18.996819,32.330861
2017-09-13T03:06:00,60725.32,127999.98,0.00,10.56,13.224070,31.859721
2017-09-13T03:11:00,64933.32,127999.98,0.00,13.60,10.282774,31.270500
2017-09-13T03:16:00,56671.98,127999.98,11624.01,52.99,2.695301,30.975256
2017-09-13T03:21:00,63617.32,127999.98,41263.15,366.00,-0.489561,30.425691
2017-09-13T03:26:00,63673.32,127999.98,41553.65,366.00,-3.460824,29.886082
2017-09-13T03:31:00,65627.98,127999.98,41881.71,366.00,-5.188038,29.328922
2017-09-13T03:36:00,64446.65,127999.98,42123.55,366.00,-7.452458,28.801072
2017-09-13T03:41:00,63493.32,127999.98,42518.55,366.00,-10.091477,28.300239
2017-09-13T03:46:00,65661.31,127999.98,42662.39,366.00,-11.454367,27.782787
2017-09-13T03:51:00,64025.32,127999.98,43011.34,366.00,-13.570933,27.296651
2017-09-13T03:56:00,62919.98,127999.98,43426.48,366.00,-16.119447,26.837635
2017-09-13T04:01:00,64769.32,127999.98,43574.80,366.00,-17.614770,26.364303
2017-09-13T04:06:00,62007.98,127999.98,44045.78,366.00,-20.354898,25.939301
2017-09-13T04:11:00,63319.98,127999.98,44321.04,366.00,-22.319184,25.502212
2017-09-13T04:16:00,62759.98,127999.98,44595.16,366.00,-24.431435,25.081549
2017-09-13T04:21:00,63453.32,127999.98,44856.68,366.00,-26.105951,24.661126
2017-09-13T04:26:00,69933.31,127999.98,44226.60,366.00,-24.768324,24.244944
2017-09-13T04:31:00,72513.31,127999.98,43255.04,366.00,-22.347169,23.869308
2017-09-13T04:36:00,67074.65,127999.98,44053.93,366.00,-22.401968,23.461278
2017-09-13T04:41:00,65755.98,127999.98,44416.28,366.00,-23.007907,23.066345
2017-09-13T04:46:00,69474.65,127999.98,44088.63,366.00,-22.011672,22.686191
2017-09-13T04:51:00,66699.98,127999.98,44461.84,366.00,-22.201886,22.308341
2017-09-13T04:56:00,69437.31,127999.98,44181.38,366.00,-21.261213,21.946530
2017-09-13T05:01:00,68550.65,127999.98,44241.10,366.00,-20.712074,21.589133
2017-09-13T05:06:00,70753.31,127999.98,43838.07,366.00,-19.314634,21.253894
2017-09-13T05:11:00,69567.98,127999.98,43933.88,366.00,-18.435090,20.917435
2017-09-13T05:16:00,70485.31,127999.98,43774.85,366.00,-17.240613,20.594661
2017-09-13T05:21:00,66615.98,127999.98,44377.71,366.00,-17.546472,20.268535
2017-09-13T05:26:00,65862.65,127999.98,44681.81,366.00,-18.109683,19.952061
2017-09-13T05:31:00,66637.31,127999.98,44766.51,366.00,-18.358831,19.640834
2017-09-13T05:36:00,70626.65,127999.98,44255.24,366.00,-17.162689,19.349025
