DateTime,Metric,Capacity,CR,TR,beta,r2
2017-09-13T11:46:00,86879.61,191999.97,105120.36,366.00,0.000000,0.000000
2017-09-13T11:51:00,86958.55,191999.97,105003.52,366.00,78.945313,1.000000
2017-09-13T11:56:00,84728.11,191999.97,103474.16,366.00,-1075.750000,1.110874
2017-09-13T12:01:00,82390.63,191999.97,107090.17,366.00,-1569.737500,0.418612
2017-09-13T12:06:00,98027.08,191999.97,91611.00,366.00,1772.701563,1.572259
2017-09-13T12:11:00,86415.38,191999.97,92843.79,366.00,815.627455,1.799059
2017-09-13T12:16:00,81097.77,191999.97,93776.65,366.00,-183.317243,1.850470
2017-09-13T12:21:00,82751.29,191999.97,94977.81,366.00,-446.474795,1.775794
2017-09-13T12:26:00,91537.45,191999.97,94242.89,366.00,46.227604,1.787597
2017-09-13T12:31:00,83354.52,191999.97,94776.60,366.00,-151.805634,1.761099
2017-09-13T12:36:00,131217.13,191999.97,67012.53,366.00,1922.649645,1.126785
2017-09-13T12:41:00,105316.10,191999.97,66627.97,366.00,2049.309495,1.032365
2017-09-13T12:46:00,112601.36,191999.97,64627.29,366.00,2298.475833,0.898967
2017-09-13T12:51:00,115446.29,191999.97,0.00,0.07,2470.707641,0.781505
2017-09-13T12:56:00,115468.89,191999.97,0.00,0.07,2521.455664,0.696926
2017-09-13T13:01:00,109539.72,191999.97,0.00,0.07,2369.001160,0.678384
2017-09-13T13:06:00,125055.97,191999.97,0.00,0.06,2522.164714,0.580992
2017-09-13T13:11:00,122465.20,191999.97,0.00,0.06,2539.947239,0.520419
2017-09-13T13:16:00,112976.27,191999.97,0.00,0.07,2362.746149,0.527501
2017-09-13T13:21:00,103194.86,191999.97,0.00,0.08,2060.154605,0.607785
2017-09-13T13:26:00,83670.70,191999.97,61591.54,366.00,1555.842441,0.835012
2017-09-13T13:31:00,89746.79,191999.97,62234.20,366.00,1230.709804,0.946446
2017-09-13T13:36:00,94061.99,191999.97,62965.43,366.00,1016.853377,1.006338
2017-09-13T13:41:00,81963.09,191999.97,63231.02,366.00,721.026410,1.097231
2017-09-13T13:46:00,90551.63,191999.97,63935.88,366.00,563.359688,1.131936
2017-09-13T13:51:00,81253.21,191999.97,64269.97,366.00,355.093705,1.171843
