DateTime,Metric,Capacity,CR,TR,beta, beta_std
2017-09-02T05:24:00,13141.91,19177.78,6035.87,366.00,0.000000,0.000000
2017-09-02T05:29:00,13139.11,19177.78,6038.67,366.00,-2.796875,0.000000
2017-09-02T05:34:00,13138.34,19177.78,6039.24,366.00,-1.782227,2.443415
2017-09-02T05:39:00,13146.93,19177.78,0.00,14.66,1.428516,3.556452
2017-09-02T05:44:00,13183.24,19177.78,0.00,2.30,9.047070,7.251535
2017-09-02T05:49:00,13221.11,19177.78,0.00,1.35,15.342215,7.090594
2017-09-02T05:54:00,13151.34,19177.78,0.00,2.44,8.470738,7.383621
2017-09-02T05:59:00,13120.70,19177.78,0.00,8.84,2.348668,7.190598
2017-09-02T06:04:00,13137.53,19177.78,984.00,45.49,0.457064,5.739311
2017-09-02T06:09:00,13180.26,19177.78,0.00,11.54,1.800101,4.677627
2017-09-02T06:14:00,13148.70,19177.78,0.00,20.44,1.016140,3.858402
2017-09-02T06:19:00,13300.61,19177.78,0.00,3.22,6.367246,4.882909
2017-09-02T06:24:00,13155.29,19177.78,0.00,4.46,4.600742,4.297064
2017-09-02T06:29:00,13184.37,19177.78,0.00,4.90,4.189973,3.690059
2017-09-02T06:34:00,13177.71,19177.78,0.00,5.63,3.651622,3.215555
2017-09-02T06:39:00,7064.10,19177.78,4113.46,366.00,-131.648114,88.946376
2017-09-02T06:44:00,3849.62,19177.78,5303.36,366.00,-284.948640,127.048427
2017-09-02T06:49:00,3821.09,19177.78,6612.45,366.00,-388.029328,131.135510
2017-09-02T06:54:00,4061.02,19177.78,7652.81,366.00,-451.898253,124.281100
2017-09-02T06:59:00,4012.87,19177.78,8497.88,366.00,-492.663525,114.821637
2017-09-02T07:04:00,3957.80,19177.78,9587.22,366.00,-517.157411,105.024062
2017-09-02T07:09:00,3935.95,19177.78,10386.66,366.00,-529.678779,95.784895
2017-09-02T07:14:00,3939.03,19177.78,10944.85,366.00,-533.415003,87.471032
2017-09-02T07:19:00,3944.76,19177.78,11357.69,366.00,-530.900533,80.184109
2017-09-02T07:24:00,3986.26,19177.78,11651.91,366.00,-523.659381,73.898038
2017-09-02T07:29:00,3943.49,19177.78,11997.66,366.00,-513.855287,68.479060
2017-09-02T07:34:00,3942.63,19177.78,12236.15,366.00,-502.002893,63.827367
2017-09-02T07:39:00,10197.05,19177.78,7444.70,366.00,-442.590839,69.806701
2017-09-02T07:44:00,13283.28,19177.78,5028.11,366.00,-370.314744,78.911958
2017-09-02T07:49:00,13195.93,19177.78,4738.83,366.00,-309.735724,82.611376
2017-09-02T07:54:00,13174.06,19177.78,3771.82,366.00,-258.407701,83.503871
2017-09-02T07:59:00,13167.18,19177.78,3561.44,366.00,-214.691318,82.771048
2017-09-02T08:04:00,13151.80,19177.78,3099.17,366.00,-177.389946,81.053182
2017-09-02T08:09:00,13163.08,19177.78,2776.81,366.00,-145.343732,78.769048
2017-09-02T08:14:00,13387.14,19177.78,2119.19,366.00,-116.726885,76.300172
2017-09-02T08:19:00,13240.26,19177.78,1854.07,366.00,-92.757553,73.530290
2017-09-02T08:24:00,13265.89,19177.78,1385.01,366.00,-71.965336,70.699223
2017-09-02T08:29:00,13232.25,19177.78,1146.05,366.00,-54.132585,67.850316
2017-09-02T08:34:00,13164.52,19177.78,800.43,366.00,-38.958455,65.026586
2017-09-02T08:39:00,13160.42,19177.78,468.16,366.00,-25.821907,62.286275
2017-09-02T08:44:00,13161.10,19177.78,155.71,366.00,-14.423873,59.648122
2017-09-02T08:49:00,13235.34,19177.78,0.00,0.02,-4.283849,57.137322
2017-09-02T08:54:00,13156.26,19177.78,0.00,0.02,4.268416,54.723600
2017-09-02T08:59:00,13191.56,19177.78,0.00,0.02,11.800338,52.432920
2017-09-02T09:04:00,13127.97,19177.78,0.00,0.02,18.153145,50.248061
2017-09-02T09:09:00,13128.39,19177.78,0.00,0.01,23.663359,48.177136
2017-09-02T09:14:00,13119.31,19177.78,0.00,0.01,28.412375,46.214824
2017-09-02T09:19:00,13111.86,19177.78,0.00,0.01,32.500515,44.356720
2017-09-02T09:24:00,13082.63,19177.78,0.00,0.01,35.956912,42.596265
2017-09-02T09:29:00,13120.49,19177.78,0.00,0.01,39.019285,40.933139
2017-09-02T09:34:00,13131.82,19177.78,0.00,0.01,41.672591,39.359570
2017-09-02T09:39:00,6797.85,19177.78,0.00,0.09,30.151081,38.471805
2017-09-02T09:44:00,3803.14,19177.78,0.00,0.18,13.544164,38.336062
2017-09-02T09:49:00,3810.03,19177.78,1618.48,366.00,-1.298086,37.972389
2017-09-02T09:54:00,3797.69,19177.78,2304.95,366.00,-14.600514,37.448459
2017-09-02T09:59:00,3778.79,19177.78,2345.36,366.00,-26.535784,36.810417
2017-09-02T10:04:00,3799.83,19177.78,2801.10,366.00,-37.171674,36.083685
2017-09-02T10:09:00,3772.36,19177.78,3264.57,366.00,-46.727590,35.304259
2017-09-02T10:14:00,3760.33,19177.78,3658.27,366.00,-55.285308,34.488220
2017-09-02T10:19:00,3795.42,19177.78,4027.19,366.00,-62.867147,33.644250
2017-09-02T10:24:00,3741.76,19177.78,4430.84,366.00,-69.712691,32.796277
2017-09-02T10:29:00,3755.07,19177.78,4717.07,366.00,-75.789259,31.944318
2017-09-02T10:34:00,3736.69,19177.78,5076.39,366.00,-81.219758,31.098905
2017-09-02T10:39:00,10033.08,19177.78,2274.52,366.00,-76.958344,30.233629
2017-09-02T10:44:00,13098.46,19177.78,1248.22,366.00,-68.683496,29.714624
2017-09-02T10:49:00,13123.69,19177.78,2074.22,366.00,-61.011017,29.173670
2017-09-02T10:54:00,13056.22,19177.78,1537.06,366.00,-54.013930,28.607164
2017-09-02T10:59:00,13049.68,19177.78,1741.39,366.00,-47.555625,28.029988
2017-09-02T11:04:00,13060.79,19177.78,1579.73,366.00,-41.569992,27.448953
2017-09-02T11:09:00,13049.10,19177.78,1436.19,366.00,-36.046880,26.865743
2017-09-02T11:14:00,13045.00,19177.78,1260.01,366.00,-30.940057,26.284419
2017-09-02T11:19:00,13087.12,19177.78,1076.60,366.00,-26.163734,25.711025
2017-09-02T11:24:00,13053.10,19177.78,979.46,366.00,-21.778105,25.141578
2017-09-02T11:29:00,13054.71,19177.78,810.93,366.00,-17.713297,24.580533
2017-09-02T11:34:00,13059.49,19177.78,681.55,366.00,-13.941440,24.029282
2017-09-02T11:39:00,13064.08,19177.78,542.95,366.00,-10.440631,23.488695
2017-09-02T11:44:00,13063.17,19177.78,412.72,366.00,-7.196097,22.959157
2017-09-02T11:49:00,13101.24,19177.78,273.03,366.00,-4.150749,22.443000
2017-09-02T11:54:00,13068.91,19177.78,182.00,366.00,-1.357665,21.937188
2017-09-02T11:59:00,13201.10,19177.78,0.00,1.16,1.354774,21.448876
2017-09-02T12:04:00,13130.50,19177.78,0.00,0.02,3.806186,20.969450
2017-09-02T12:09:00,13129.38,19177.78,0.00,0.02,6.078208,20.502045
2017-09-02T12:14:00,13131.15,19177.78,0.00,0.02,8.186193,20.046764
2017-09-02T12:19:00,13130.00,19177.78,0.00,0.02,10.139305,19.603445
2017-09-02T12:24:00,13119.39,19177.78,0.00,0.02,11.940723,19.171724
2017-09-02T12:29:00,13142.24,19177.78,0.00,0.02,13.628102,18.752345
2017-09-02T12:34:00,13141.70,19177.78,0.00,0.02,15.190648,18.344447
2017-09-02T12:39:00,6804.74,19177.78,0.00,0.22,11.782744,18.040140
2017-09-02T12:44:00,3828.23,19177.78,0.00,0.39,6.361064,17.922991
2017-09-02T12:49:00,3828.78,19177.78,0.00,3.77,1.288623,17.778696
2017-09-02T12:54:00,3815.91,19177.78,1698.64,366.00,-3.466786,17.613006
2017-09-02T12:59:00,3812.99,19177.78,1660.50,366.00,-7.918349,17.429169
2017-09-02T13:04:00,3812.17,19177.78,1922.46,366.00,-12.083949,17.230467
2017-09-02T13:09:00,3841.95,19177.78,2160.35,366.00,-15.961134,17.018175
2017-09-02T13:14:00,3880.11,19177.78,2396.23,366.00,-19.562937,16.794707
2017-09-02T13:19:00,3817.80,19177.78,2661.22,366.00,-22.971813,16.567134
2017-09-02T13:24:00,3789.19,19177.78,2884.78,366.00,-26.177691,16.335175
2017-09-02T13:29:00,3783.04,19177.78,3127.35,366.00,-29.178872,16.099215
2017-09-02T13:34:00,3798.41,19177.78,3335.97,366.00,-31.974799,15.859731
2017-09-02T13:39:00,10374.16,19177.78,408.87,366.00,-30.680916,15.561182
2017-09-02T13:44:00,13183.70,19177.78,204.96,366.00,-27.808210,15.346557
2017-09-02T13:49:00,13159.25,19177.78,1031.62,366.00,-25.099289,15.129935
2017-09-02T13:54:00,13204.99,19177.78,866.60,366.00,-22.505457,14.914504
2017-09-02T13:59:00,13201.81,19177.78,1194.76,366.00,-20.047800,14.699018
2017-09-02T14:04:00,13303.21,19177.78,987.22,366.00,-17.662459,14.487184
2017-09-02T14:09:00,13121.85,19177.78,1096.59,366.00,-15.496210,14.270852
2017-09-02T14:14:00,13046.52,19177.78,979.16,366.00,-13.480253,14.054213
2017-09-02T14:43:00,13053.05,19177.78,442.67,366.00,-3.357860,12.806992
2017-09-02T14:48:00,13064.21,19177.78,359.72,366.00,-1.951266,12.609409
2017-09-02T14:53:00,13220.79,19177.78,197.47,366.00,-0.545489,12.417596
2017-09-02T14:58:00,13158.66,19177.78,0.00,2.66,0.761591,12.227615
2017-09-02T15:03:00,13201.95,19177.78,0.00,0.90,2.021261,12.041332
2017-09-02T15:08:00,13092.78,19177.78,0.00,0.44,3.170446,11.856449
2017-09-02T15:13:00,13136.88,19177.78,0.00,0.02,4.279849,11.675354
2017-09-02T15:18:00,13086.63,19177.78,0.00,0.02,5.312167,11.496737
2017-09-02T15:23:00,13094.32,19177.78,0.00,0.02,6.295101,11.321408
2017-09-02T15:28:00,13042.31,19177.78,0.00,0.02,7.207169,11.148658
2017-09-02T15:33:00,13066.78,19177.78,0.00,0.02,8.082254,10.979384
2017-09-02T15:38:00,7369.14,19177.78,0.00,0.35,6.707007,10.832385
2017-09-02T15:43:00,3757.42,19177.78,0.00,0.74,4.018275,10.775152
2017-09-02T15:48:00,3753.73,19177.78,0.00,2.92,1.452672,10.710381
2017-09-02T15:53:00,3737.14,19177.78,1491.28,366.00,-1.000275,10.639436
2017-09-02T15:58:00,3738.63,19177.78,1365.78,366.00,-3.339120,10.562627
2017-09-02T16:03:00,3726.46,19177.78,1554.67,366.00,-5.574011,10.481114
2017-09-02T16:08:00,3748.01,19177.78,1720.24,366.00,-7.697774,10.394713
2017-09-02T16:13:00,3783.49,19177.78,1890.07,366.00,-9.710758,10.303813
2017-09-02T16:18:00,3815.77,19177.78,2052.54,366.00,-11.619267,10.209171
2017-09-02T16:23:00,3798.97,19177.78,2227.81,366.00,-13.444705,10.112403
2017-09-02T16:28:00,3790.93,19177.78,2389.73,366.00,-15.187826,10.013709
2017-09-02T16:33:00,3771.47,19177.78,2563.41,366.00,-16.856011,9.913665
2017-09-02T16:38:00,10923.46,19177.78,0.00,0.01,-16.143116,9.776795
2017-09-02T16:43:00,15361.07,19177.78,0.00,0.01,-14.047549,9.711974
2017-09-02T16:48:00,15349.03,19177.78,0.00,0.01,-12.041153,9.643112
2017-09-02T16:53:00,15356.67,19177.78,0.00,0.01,-10.114059,9.571152
2017-09-02T16:58:00,15387.07,19177.78,0.00,0.01,-8.256069,9.496965
2017-09-02T17:03:00,15355.04,19177.78,0.00,0.01,-6.483153,9.419645
2017-09-02T17:08:00,15355.30,19177.78,0.00,0.01,-4.782110,9.340232
2017-09-02T17:13:00,15358.54,19177.78,0.00,0.01,-3.149109,9.259093
2017-09-02T17:18:00,15360.52,19177.78,0.00,0.01,-1.581738,9.176484
2017-09-02T17:23:00,15353.95,19177.78,0.00,0.01,-0.079748,9.092518
2017-09-02T17:28:00,15352.96,19177.78,0.00,0.01,1.361102,9.007528
2017-09-02T17:33:00,15350.97,19177.78,0.00,0.01,2.743010,8.921709
2017-09-02T17:38:00,15357.12,19177.78,0.00,0.01,4.070575,8.835366
2017-09-02T17:43:00,15337.24,19177.78,0.00,0.01,5.338963,8.748308
2017-09-02T17:48:00,15313.51,19177.78,0.00,0.01,6.549587,8.660677
2017-09-02T17:53:00,15317.41,19177.78,0.00,0.01,7.712047,8.572982
2017-09-02T17:58:00,15340.23,19177.78,0.00,0.01,8.833118,8.485558
2017-09-02T18:03:00,15312.93,19177.78,0.00,0.01,9.901596,8.397923
2017-09-02T18:08:00,15323.46,19177.78,0.00,0.01,10.929140,8.310616
2017-09-02T18:13:00,15339.46,19177.78,0.00,0.01,11.918677,8.223768
2017-09-02T18:18:00,15330.80,19177.78,0.00,0.01,12.865597,8.137197
2017-09-02T18:23:00,15320.81,19177.78,0.00,0.01,13.771259,8.050972
2017-09-02T18:28:00,15314.61,19177.78,0.00,0.01,14.638192,7.965204
2017-09-02T18:33:00,15331.84,19177.78,0.00,0.01,15.473431,7.880156
2017-09-02T18:38:00,8123.59,19177.78,0.00,0.05,14.595194,7.798571
2017-09-02T18:43:00,3694.95,19177.78,0.00,0.05,12.727143,7.778727
2017-09-02T18:48:00,3720.23,19177.78,0.00,0.05,10.930283,7.754156
2017-09-02T18:53:00,3741.89,19177.78,0.00,0.05,9.201166,7.725405
2017-09-02T18:58:00,3727.20,19177.78,0.00,0.03,7.529245,7.693497
2017-09-02T19:03:00,3734.23,19177.78,0.00,0.04,5.917281,7.658401
2017-09-02T19:08:00,3734.87,19177.78,0.00,0.05,4.361740,7.620537
2017-09-02T19:13:00,3735.61,19177.78,0.00,0.15,2.860645,7.580189
2017-09-02T19:18:00,3735.99,19177.78,0.00,0.55,1.412004,7.537619
2017-09-02T19:23:00,3797.85,19177.78,14.30,39.87,0.026813,7.492250
2017-09-02T19:28:00,3771.10,19177.78,425.39,366.00,-1.315588,7.445520
2017-09-02T19:33:00,3771.98,19177.78,542.36,366.00,-2.610987,7.397242
2017-09-02T19:38:00,9515.85,19177.78,0.00,0.01,-2.702999,7.311423
2017-09-02T19:43:00,13039.68,19177.78,0.00,0.01,-2.088941,7.235789
2017-09-02T19:48:00,13033.67,19177.78,0.00,0.01,-1.496588,7.160978
2017-09-02T19:53:00,13035.28,19177.78,0.00,0.01,-0.923708,7.087037
2017-09-02T19:58:00,13032.05,19177.78,0.00,0.01,-0.370580,7.013942
2017-09-02T20:03:00,13040.14,19177.78,0.00,0.01,0.165618,6.941750
2017-09-02T20:08:00,13036.86,19177.78,0.00,0.01,0.683296,6.870403
2017-09-02T20:13:00,13053.63,19177.78,0.00,0.01,1.186809,6.799994
2017-09-02T20:18:00,13037.42,19177.78,0.00,0.01,1.670521,6.730364
2017-09-02T20:23:00,13039.85,19177.78,0.00,0.01,2.138513,6.661597
2017-09-02T20:28:00,13028.63,19177.78,0.00,0.01,2.588839,6.593633
2017-09-02T20:33:00,13064.86,19177.78,0.00,0.01,3.030555,6.526664
2017-09-02T20:38:00,13052.56,19177.78,0.00,0.01,3.455319,6.460479
2017-09-02T20:43:00,13035.36,19177.78,0.00,0.01,3.862855,6.395059
2017-09-02T20:48:00,13038.16,19177.78,0.00,0.01,4.257201,6.330478
2017-09-02T20:53:00,13086.53,19177.78,0.00,0.01,4.646559,6.266890
2017-09-02T20:58:00,13038.94,19177.78,0.00,0.01,5.014800,6.203942
2017-09-02T21:03:00,13083.50,19177.78,0.00,0.01,5.378081,6.141949
2017-09-02T21:08:00,13156.96,19177.78,0.00,0.01,5.741268,6.080989
2017-09-02T21:13:00,13070.42,19177.78,0.00,0.01,6.078066,6.020519
2017-09-02T21:18:00,13032.56,19177.78,0.00,0.01,6.397334,5.960715
2017-09-02T21:23:00,12978.10,19177.78,0.00,0.01,6.697026,5.901534
