DateTime,Metric,Capacity,CR,TR,beta, beta_std
2017-09-14T00:00:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:05:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:10:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:15:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:20:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:25:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:30:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:35:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:40:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:45:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:50:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T00:55:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T01:00:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T01:05:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T01:10:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T01:15:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T01:20:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T01:25:00,267366.44,662399.44,395033.00,366.00,0.000000,0.000000
2017-09-14T01:30:00,267366.44,662399.44,395033.00,366.00,-0.000000,0.000000
2017-09-14T01:35:00,267366.44,662399.44,395033.00,366.00,-0.000000,0.000000
2017-09-14T01:40:00,267366.44,662399.44,395033.00,366.00,-0.000000,0.000000
2017-09-14T01:45:00,267366.44,662399.44,395033.00,366.00,-0.000000,0.000000
2017-09-14T01:50:00,267366.44,662399.44,395033.00,366.00,-0.000000,0.000000
2017-09-14T01:55:00,267366.44,662399.44,395033.00,366.00,-0.000000,0.000000
2017-09-14T02:00:00,267366.44,662399.44,395033.00,366.00,-0.000000,0.000000
2017-09-14T02:05:00,267366.44,662399.44,395033.00,366.00,-0.000000,0.000000
2017-09-14T02:10:00,265225.66,662399.44,394351.31,366.00,-16.990317,10.579011
2017-09-14T02:15:00,265225.66,662399.44,394414.71,366.00,-30.465397,12.903058
2017-09-14T02:20:00,265225.66,662399.44,394465.98,366.00,-41.128286,13.707822
2017-09-14T02:25:00,265225.66,662399.44,394958.46,366.00,-49.530839,13.806266
2017-09-14T02:30:00,265225.66,662399.44,395274.21,366.00,-56.109153,13.536391
2017-09-14T02:35:00,265225.66,662399.44,395511.59,366.00,-61.209985,13.071785
2017-09-14T02:40:00,265225.66,662399.44,395691.68,366.00,-65.110622,12.510208
2017-09-14T02:45:00,265225.66,662399.44,395832.69,366.00,-68.033956,11.909202
2017-09-14T02:50:00,265225.66,662399.44,395945.93,366.00,-70.160017,11.303200
2017-09-14T02:55:00,265225.66,662399.44,396032.16,366.00,-71.634852,10.712691
2017-09-14T03:00:00,265225.66,662399.44,396105.72,366.00,-72.577416,10.149484
2017-09-14T03:05:00,265225.66,662399.44,396166.86,366.00,-73.084950,9.619887
2017-09-14T03:10:00,265225.66,662399.44,396215.50,366.00,-73.237211,9.126696
2017-09-14T03:15:00,265225.66,662399.44,396259.42,366.00,-73.099805,8.670470
2017-09-14T03:20:00,265225.66,662399.44,396299.42,366.00,-72.726847,8.250364
2017-09-14T03:25:00,265225.66,662399.44,396334.06,366.00,-72.163073,7.864682
2017-09-14T03:30:00,265225.66,662399.44,396360.76,366.00,-71.445542,7.511242
2017-09-14T03:35:00,265225.66,662399.44,396385.33,366.00,-70.605006,7.187625
2017-09-14T03:40:00,265225.66,662399.44,396407.87,366.00,-69.667017,6.891333
2017-09-14T03:45:00,265225.66,662399.44,396428.44,366.00,-68.652828,6.619902
2017-09-14T03:50:00,265225.66,662399.44,396447.11,366.00,-67.580127,6.370966
2017-09-14T03:55:00,265225.66,662399.44,396463.96,366.00,-66.463643,6.142298
2017-09-14T04:00:00,265225.66,662399.44,396479.07,366.00,-65.315635,5.931837
2017-09-14T04:05:00,265225.66,662399.44,396492.54,366.00,-64.146301,5.737691
2017-09-14T04:10:00,265225.66,662399.44,396502.98,366.00,-62.964118,5.558144
2017-09-14T04:15:00,265225.66,662399.44,396511.81,366.00,-61.776115,5.391649
2017-09-14T04:20:00,269085.78,662399.44,394360.21,366.00,-52.495618,7.609147
2017-09-14T04:25:00,269085.78,662399.44,393948.62,366.00,-44.102739,8.887723
2017-09-14T04:30:00,269085.78,662399.44,393038.51,366.00,-36.506833,9.697779
2017-09-14T04:35:00,269085.78,662399.44,392612.90,366.00,-29.627595,10.217675
2017-09-14T04:40:00,269085.78,662399.44,392379.62,366.00,-23.393748,10.540632
2017-09-14T04:45:00,269085.78,662399.44,392236.92,366.00,-17.741903,10.723218
2017-09-14T04:50:00,269085.78,662399.44,392143.61,366.00,-12.615592,10.802837
2017-09-14T04:55:00,269085.78,662399.44,392079.94,366.00,-7.964423,10.805619
2017-09-14T05:00:00,269085.78,662399.44,392000.80,366.00,-3.743354,10.750514
2017-09-14T05:05:00,269085.78,662399.44,391905.00,366.00,0.087943,10.651637
2017-09-14T05:10:00,269085.78,662399.44,361838.73,366.00,3.565627,10.519705
2017-09-14T05:15:00,269085.78,662399.44,334383.64,202.72,6.722167,10.362978
2017-09-14T05:20:00,269085.78,662399.44,309465.18,142.08,9.586761,10.187889
